Sym,Pct,Sa,La
GCP,19.62000000000009,4,3
CTB,-7.229999999999947,2,3
GDEN,26.874999999999986,4,2
FCF,9.899999999999906,2,3
GSBC,13.075000000000102,2,3
UFPI,19.560000000000016,2,3
GTT,76.77000000000012,2,3
PETQ,2.9199999999999164,2,3
MNR,1.404999999999987,4,2
PFBI,25.77500000000009,2,3
PRAA,-0.6675000000000324,4,3
RFL,-12.874999999999957,5,2
NWBI,-3.0724999999999767,2,3
BRKL,-1.97499999999998,5,4
VRRM,35.677500000000066,4,3
CSOD,11.347499999999968,5,3
EPZM,82.15,4,2
KFRC,9.620000000000061,2,3
HTBI,12.33500000000005,4,3
EIG,-4.790000000000006,2,3
CZNC,12.017499999999998,2,3
FOCS,27.77499999999995,5,2
FSP,-2.555000000000078,4,3
GPRE,35.917500000000075,5,4
CHEF,2.0875000000000057,4,3
PCH,-6.199999999999946,2,3
CARB,62.83750000000009,5,3
TWIN,-9.075000000000031,5,2
STBA,12.24499999999999,2,3
CLAR,0.8124999999999858,4,2
ACBI,44.83250000000007,4,3
HWKN,-0.38999999999998636,5,4
BIG,-2.800000000000054,2,3
GWGH,-12.83099999999996,5,4
SGC,-3.964999999999961,5,3
NSTG,4.749999999999986,4,3
DGII,3.2275000000000773,4,2
GKOS,15.925000000000026,4,2
BOOT,-8.69000000000004,4,2
MVBF,-7.400000000000006,5,2
GTS,12.61499999999998,2,3
MEC,-20.770000000000024,5,4
LCI,-9.265000000000114,5,2
XBIT,221.05000000000013,4,3
FIZZ,-16.462500000000034,4,2
EVBN,10.270000000000053,2,3
CIX,2.2900999999999527,5,3
FCPT,8.449999999999989,4,3
NRIM,15.04000000000002,2,3
BEAT,-3.6825000000000045,5,4
CWH,60.730000000000075,5,4
MLHR,5.002499999999955,5,4
KEM,44.474999999999994,5,4
TLRA,67.42999999999995,2,3
VLY,4.159999999999968,5,3
PRFT,14.779999999999973,4,3
CYTK,29.20750000000004,5,4
ERII,18.522500000000036,2,3
BMTC,29.292500000000018,2,3
BFST,3.1299999999999955,5,3
CMC,1.2149999999998897,4,2
DEA,25.955000000000055,4,3
RUSHA,19.37000000000002,4,2
LORL,10.729999999999976,5,4
SYX,16.17499999999997,2,3
FCBC,-9.624999999999943,5,4
RAD,416.27,4,2
ANGO,-11.144999999999982,5,2
EYE,6.819999999999965,2,3
MTX,-10.209999999999951,5,4
TBBK,50.76249999999999,4,3
ATI,1.6699999999999307,5,4
CTSO,-18.552499999999952,5,4
SRI,23.43500000000003,4,3
IOVA,53.700000000000045,4,3
MCFT,-12.742499999999964,4,2
BMCH,9.45750000000001,5,2
IMAX,-19.780000000000015,5,3
THRM,11.435000000000002,5,4
GHL,70.16000000000003,2,3
SONO,12.962499999999991,5,2
SLCT,-1.2149999999999892,2,3
PTGX,-40.005000000000024,4,2
EGHT,24.40500000000003,5,4
GTY,0.2699999999999818,5,4
CORT,-6.165000000000063,4,3
VRCA,20.239999999999952,4,3
EVOP,22.437499999999986,5,4
SMMF,-3.3949999999999676,2,3
SPNE,27.72500000000001,5,4
HTBK,8.294999999999916,4,3
HONE,2.1299999999999812,4,3
PROV,-3.199999999999946,4,2
BTAI,196.51500000000004,4,3
RUN,19.524999999999977,5,4
REXR,3.7599999999999767,4,2
CPSI,34.35749999999996,2,3
PARR,-5.900000000000091,5,4
ENVA,7.365000000000009,2,3
ASC,21.335000000000008,5,3
NMIH,-4.309999999999974,5,4
SAIL,27.064999999999984,4,3
PKBK,0.5750000000000028,4,3
GCAP,51.95999999999995,4,3
SIBN,0.7899999999999778,5,2
TGNA,5.895000000000024,4,2
CPS,-11.979999999999876,5,4
VECO,63.454999999999956,5,2
TBPH,137.92500000000004,2,3
CNNE,24.100000000000108,2,3
AMSC,17.41000000000001,2,3
VBTX,20.600000000000037,4,3
ECHO,32.48249999999993,2,3
NATR,15.969999999999985,5,4
MNRL,-27.630000000000024,2,3
EAT,2.5699999999999363,5,4
MATW,11.434999999999988,4,2
UIS,305.45000000000005,2,3
IRMD,20.07500000000003,5,2
TPB,-4.615000000000023,4,2
PGTI,34.90999999999994,4,2
LBAI,39.474999999999966,2,3
RRBI,6.589999999999989,4,2
FATE,-4.115000000000066,5,4
PKD,103.28,4,3
AROW,6.860000000000113,2,3
MMI,13.974999999999937,2,3
BCML,11.924999999999926,4,3
WHD,3.2899999999999636,2,3
UBX,15.197499999999962,5,2
IRDM,35.59749999999994,2,3
IBCP,13.825000000000017,4,2
CMCO,-13.22499999999998,5,2
IMKTA,44.66999999999996,4,2
RTRX,0.19000000000002615,5,2
